seed,incident_id,gt_family,is_decoy,signal_service,canonical_service_id,top5_pred_families,top5_similarities,top_remediation,expected_remediation,confidence,deploy_evidence,trace_evidence,metric_evidence,log_evidence,top_candidate_why,recall_hit,precision_at_5,remediation_ok,failure_type
42,INC-92082-5,1,False,svc-27,0ad8498e,5|5|5|5,0.390|0.390|0.390|0.390,rollback,restart,0.3562,False,False,False,False,"canonical ID overlap: 100%; shared services: 0ad8498e; causal shape similarity: 100%; shared patterns: [('DEPLOY_SRC', 'DEPLOY_DST')]; shared event types: DEPLOY",False,0.0,False,recall_miss
42,INC-94255-4,5,False,svc-08-r8-r4-r4-r7-r4-r5-r3-r9,5ec89630,4|4|4|4|4,0.390|0.390|0.390|0.390|0.390,failover,rollback,0.3562,False,False,True,False,"canonical ID overlap: 100%; shared services: 5ec89630; causal shape similarity: 100%; shared patterns: [('DEPLOY_SRC', 'DEPLOY_DST')]; shared event types: DEPLOY",False,0.0,False,recall_miss
42,INC-4696-7,6,False,svc-03-r8,15273c78,1|4|2|3|4,0.208|0.208|0.208|0.208|0.208,failover,restart,0.302965,False,False,True,False,"causal shape similarity: 100%; shared patterns: [('DEPLOY_SRC', 'DEPLOY_DST')]; shared event types: DEPLOY",False,0.0,True,recall_miss
42,INC-35012-2,1,False,svc-05-r8,39954a61,1|4|2|3|4,0.180|0.180|0.180|0.180|0.180,failover,restart,0.294775,False,False,False,False,"causal shape similarity: 100%; shared patterns: [('DEPLOY_SRC', 'DEPLOY_DST')]; shared event types: DEPLOY",True,0.2,True,precision_contamination
42,INC-48019-1,3,False,svc-10-r8,9bbe17e7,1|4|2|3|4,0.208|0.208|0.208|0.208|0.208,failover,config_change,0.302965,False,False,True,False,"causal shape similarity: 100%; shared patterns: [('DEPLOY_SRC', 'DEPLOY_DST')]; shared event types: DEPLOY",True,0.2,False,remediation_mismatch
42,INC-39608-5,2,False,svc-27,0ad8498e,5|5|5|5,0.390|0.390|0.390|0.390,rollback,scale_up,0.3562,False,False,False,False,"canonical ID overlap: 100%; shared services: 0ad8498e; causal shape similarity: 100%; shared patterns: [('DEPLOY_SRC', 'DEPLOY_DST')]; shared event types: DEPLOY",False,0.0,False,recall_miss
42,INC-67234-1,7,False,svc-10-r8,9bbe17e7,1|4|2|3|4,0.180|0.180|0.180|0.180|0.180,failover,scale_up,0.294775,False,False,False,False,"causal shape similarity: 100%; shared patterns: [('DEPLOY_SRC', 'DEPLOY_DST')]; shared event types: DEPLOY",False,0.0,True,recall_miss
42,INC-77030-1,5,False,svc-10-r8,9bbe17e7,1|4|2|3|4,0.180|0.180|0.180|0.180|0.180,failover,rollback,0.294775,False,False,False,False,"causal shape similarity: 100%; shared patterns: [('DEPLOY_SRC', 'DEPLOY_DST')]; shared event types: DEPLOY",False,0.0,False,recall_miss
42,INC-94148-5,4,False,svc-27,0ad8498e,5|5|5|5,0.390|0.390|0.390|0.390,rollback,failover,0.3562,False,False,False,False,"canonical ID overlap: 100%; shared services: 0ad8498e; causal shape similarity: 100%; shared patterns: [('DEPLOY_SRC', 'DEPLOY_DST')]; shared event types: DEPLOY",False,0.0,False,recall_miss
42,INC-97348-6,7,False,svc-15,77883e77,6|6|6|6|6,0.390|0.390|0.390|0.390|0.390,restart,scale_up,0.3562,False,False,False,False,"canonical ID overlap: 100%; shared services: 77883e77; causal shape similarity: 100%; shared patterns: [('DEPLOY_SRC', 'DEPLOY_DST')]; shared event types: DEPLOY",False,0.0,False,recall_miss
42,INC-1960-2,7,False,svc-05-r8,39954a61,1|4|2|3|4,0.180|0.180|0.180|0.180|0.180,failover,scale_up,0.294775,False,False,False,False,"causal shape similarity: 100%; shared patterns: [('DEPLOY_SRC', 'DEPLOY_DST')]; shared event types: DEPLOY",False,0.0,True,recall_miss
42,INC-8253-6,2,False,svc-15,77883e77,6|6|6|6|6,0.390|0.390|0.390|0.390|0.390,restart,scale_up,0.3562,False,False,False,False,"canonical ID overlap: 100%; shared services: 77883e77; causal shape similarity: 100%; shared patterns: [('DEPLOY_SRC', 'DEPLOY_DST')]; shared event types: DEPLOY",False,0.0,False,recall_miss
42,INC-35982-5,1,False,svc-27,0ad8498e,5|5|5|5,0.390|0.390|0.390|0.390,rollback,restart,0.3562,False,False,False,False,"canonical ID overlap: 100%; shared services: 0ad8498e; causal shape similarity: 100%; shared patterns: [('DEPLOY_SRC', 'DEPLOY_DST')]; shared event types: DEPLOY",False,0.0,False,recall_miss
42,INC-36584-7,2,False,svc-03-r8,15273c78,1|4|2|3|4,0.208|0.208|0.208|0.208|0.208,failover,scale_up,0.302965,False,False,True,False,"causal shape similarity: 100%; shared patterns: [('DEPLOY_SRC', 'DEPLOY_DST')]; shared event types: DEPLOY",True,0.2,True,precision_contamination
